id,store,date,product name,weekly_sales,inventory level,temperature,past promotion of product in lac,demand forecast
139,1,2012-09-28,Vegan leather wallet,1437059.26,0,76.08,3.666,6.908
140,4,2012-10-05,LED desk lamp with USB charging port,1670785.97,0,68.55,3.617,6.573
141,5,2012-10-12,Blueberry scented candle,1573072.81,0,62.99,3.601,6.573
142,2,2012-10-19,Stainless steel water bottle,1508068.77,0,67.97,3.594,6.573
143,3,2012-10-26,Leather messenger bag,1493659.74,0,69.16,3.506,6.573
144,2,2010-02-05,Organic coconut oil,2136989.46,0,40.19,2.572,8.324
145,1,2010-02-12,Bluetooth wireless earbuds,2137809.5,1,38.49,2.548,8.324
146,4,2010-02-19,Floral patterned throw pillow,2124451.54,0,39.69,2.514,8.324
147,5,2010-02-26,Bamboo cutting board set,1865097.27,0,46.1,2.561,8.324
148,2,2010-03-05,Aromatherapy essential oil diffuser,1991013.13,0,47.17,2.625,8.324
149,3,2010-03-12,Resistance band set,1990483.78,0,57.56,2.667,8.324
150,1,2010-03-19,Ceramic plant pot with saucer,1946070.88,0,54.52,2.72,8.324
151,4,2010-03-26,Insulated lunch box,1750197.81,0,51.26,2.732,8.324
152,5,2010-04-02,Himalayan salt lamp,2066187.72,0,63.27,2.719,8.2
153,2,2010-04-09,Reusable silicone food storage bags,1954689.21,0,65.41,2.77,8.2
154,3,2010-04-16,Handwoven rattan basket,1874957.94,0,68.07,2.808,8.2
155,2,2010-04-23,Yoga mat with carrying strap,1821990.93,0,65.11,2.795,8.2
156,1,2010-04-30,Stainless steel french press coffee maker,1802450.29,0,66.98,2.78,8.2
157,4,2010-05-07,Memory foam travel neck pillow,2042581.71,0,71.28,2.835,8.2
158,5,2010-05-14,Glass meal prep containers set,1880752.36,0,73.31,2.854,8.2
159,2,2010-05-21,Vegan leather wallet,1896937.1,0,74.83,2.826,8.2
160,3,2010-05-28,LED desk lamp with USB charging port,1957113.89,0,81.13,2.759,8.2
161,1,2010-06-04,Blueberry scented candle,2102539.93,0,81.81,2.705,8.2
162,4,2010-06-11,Stainless steel water bottle,2025538.76,0,83.4,2.668,8.2
163,5,2010-06-18,Leather messenger bag,2001636.96,0,85.81,2.637,8.2
164,2,2010-06-25,Organic coconut oil,1939927.09,0,86.26,2.653,8.2
165,3,2010-07-02,Bluetooth wireless earbuds,2003940.64,0,82.74,2.669,8.099
166,2,2010-07-09,Floral patterned throw pillow,1880902.62,0,82.59,2.642,8.099
167,1,2010-07-16,Bamboo cutting board set,1845879.79,0,85.32,2.623,8.099
168,4,2010-07-23,Aromatherapy essential oil diffuser,1781717.71,0,87.66,2.608,8.099
169,5,2010-07-30,Resistance band set,1804246.16,0,83.49,2.64,8.099
170,2,2010-08-06,Ceramic plant pot with saucer,1991909.98,0,89.53,2.627,8.099
171,3,2010-08-13,Insulated lunch box,1895601.05,0,89.05,2.692,8.099
172,1,2010-08-20,Himalayan salt lamp,1964335.23,0,88.7,2.664,8.099
173,4,2010-08-27,Reusable silicone food storage bags,1863840.49,0,87.12,2.619,8.099
174,5,2010-09-03,Handwoven rattan basket,1904608.09,0,81.83,2.577,8.099
175,2,2010-09-10,Yoga mat with carrying strap,1839128.83,1,79.09,2.565,8.099
176,3,2010-09-17,Stainless steel french press coffee maker,1793903.6,0,82.05,2.582,8.099
177,2,2010-09-24,Memory foam travel neck pillow,1724557.22,0,81.79,2.624,8.099
178,1,2010-10-01,Glass meal prep containers set,1827440.43,0,69.24,2.603,8.163
179,4,2010-10-08,Vegan leather wallet,1849921.44,0,63.19,2.633,8.163
180,5,2010-10-15,LED desk lamp with USB charging port,1794355.49,0,65.8,2.72,8.163
181,2,2010-10-22,Blueberry scented candle,1737947.64,0,68.5,2.725,8.163
182,3,2010-10-29,Stainless steel water bottle,1802755.11,0,66.24,2.716,8.163
183,1,2010-11-05,Leather messenger bag,1939061.41,0,57.85,2.689,8.163
184,4,2010-11-12,Organic coconut oil,1916812.74,0,59.69,2.728,8.163
185,5,2010-11-19,Bluetooth wireless earbuds,1956739.17,0,50.81,2.771,8.163
186,2,2010-11-26,Floral patterned throw pillow,2658725.29,1,62.98,2.735,8.163
187,3,2010-12-03,Bamboo cutting board set,2015781.27,0,49.33,2.708,8.163
188,2,2010-12-10,Aromatherapy essential oil diffuser,2378726.55,0,45.5,2.843,8.163
189,1,2010-12-17,Resistance band set,2609166.75,0,47.55,2.869,8.163
190,4,2010-12-24,Ceramic plant pot with saucer,3436007.68,0,49.97,2.886,8.163
191,5,2010-12-31,Insulated lunch box,1750434.55,1,47.3,2.943,8.163
192,2,2011-01-07,Himalayan salt lamp,1758050.79,0,44.69,2.976,8.028
193,3,2011-01-14,Reusable silicone food storage bags,1744193.58,0,33.02,2.983,8.028
194,1,2011-01-21,Handwoven rattan basket,1751384.9,0,41.4,3.016,8.028
195,4,2011-01-28,Yoga mat with carrying strap,1695371.68,0,42.83,3.01,8.028
196,5,2011-02-04,Stainless steel french press coffee maker,1929346.23,0,38.25,2.989,8.028
197,2,2011-02-11,Memory foam travel neck pillow,2168041.61,1,33.19,3.022,8.028
198,3,2011-02-18,Glass meal prep containers set,2080884.82,0,57.83,3.045,8.028
199,2,2011-02-25,Vegan leather wallet,1833511.08,0,60.8,3.065,8.028
200,1,2011-03-04,LED desk lamp with USB charging port,1981607.78,0,57.77,3.288,8.028
201,4,2011-03-11,Blueberry scented candle,1879107.31,0,52.7,3.459,8.028
202,5,2011-03-18,Stainless steel water bottle,1902557.66,0,62.32,3.488,8.028
203,2,2011-03-25,Leather messenger bag,1766162.05,0,69.42,3.473,8.028
204,3,2011-04-01,Organic coconut oil,1800171.36,0,55.43,3.524,7.931
205,1,2011-04-08,Bluetooth wireless earbuds,1847552.61,0,67.0,3.622,7.931
206,4,2011-04-15,Floral patterned throw pillow,1856467.84,0,69.48,3.743,7.931
207,5,2011-04-22,Bamboo cutting board set,1886339.6,0,69.39,3.807,7.931
208,2,2011-04-29,Aromatherapy essential oil diffuser,1745545.28,0,69.21,3.81,7.931
209,3,2011-05-06,Resistance band set,1837743.6,0,61.48,3.906,7.931
210,2,2011-05-13,Ceramic plant pot with saucer,1838513.07,0,74.61,3.899,7.931
211,1,2011-05-20,Insulated lunch box,1688281.86,0,67.14,3.907,7.931
212,4,2011-05-27,Himalayan salt lamp,1797732.56,0,76.42,3.786,7.931
213,5,2011-06-03,Reusable silicone food storage bags,1933756.21,0,83.07,3.699,7.931
214,2,2011-06-10,Handwoven rattan basket,1929153.16,0,83.4,3.648,7.931
215,3,2011-06-17,Yoga mat with carrying strap,1953771.99,0,86.53,3.637,7.931
216,2,2011-06-24,Stainless steel french press coffee maker,1790925.8,0,85.17,3.594,7.931
217,1,2011-07-01,Memory foam travel neck pillow,1866243.0,0,85.69,3.524,7.852
218,4,2011-07-08,Glass meal prep containers set,1853161.99,0,87.7,3.48,7.852
219,5,2011-07-15,Vegan leather wallet,1785187.29,0,89.83,3.575,7.852
220,2,2011-07-22,LED desk lamp with USB charging port,1743816.41,0,89.34,3.651,7.852
221,3,2011-07-29,Blueberry scented candle,1680693.06,0,90.07,3.682,7.852
222,1,2011-08-05,Stainless steel water bottle,1876704.26,0,93.34,3.684,7.852
223,4,2011-08-12,Leather messenger bag,1812768.26,0,91.58,3.638,7.852
224,5,2011-08-19,Organic coconut oil,1844094.59,0,89.86,3.554,7.852
225,2,2011-08-26,Bluetooth wireless earbuds,1821139.91,0,90.45,3.523,7.852
226,3,2011-09-02,Floral patterned throw pillow,1809119.7,0,89.64,3.533,7.852
227,2,2011-09-09,Bamboo cutting board set,1748000.65,1,77.97,3.546,7.852
228,1,2011-09-16,Aromatherapy essential oil diffuser,1691439.52,0,78.85,3.526,7.852
229,4,2011-09-23,Resistance band set,1669299.78,0,75.58,3.467,7.852
230,5,2011-09-30,Ceramic plant pot with saucer,1650394.44,0,78.14,3.355,7.852
231,2,2011-10-07,Insulated lunch box,1837553.43,0,69.92,3.285,7.441
232,3,2011-10-14,Himalayan salt lamp,1743882.19,0,71.67,3.274,7.441
233,1,2011-10-21,Reusable silicone food storage bags,1834680.25,0,64.53,3.353,7.441
234,4,2011-10-28,Handwoven rattan basket,1769296.25,0,65.87,3.372,7.441
235,5,2011-11-04,Yoga mat with carrying strap,1959707.9,0,55.53,3.332,7.441
236,2,2011-11-11,Stainless steel french press coffee maker,1920725.15,0,59.33,3.297,7.441
237,3,2011-11-18,Memory foam travel neck pillow,1902762.5,0,62.01,3.308,7.441
238,2,2011-11-25,Glass meal prep containers set,2614202.3,1,56.36,3.236,7.441
239,1,2011-12-02,Vegan leather wallet,1954952.0,0,48.74,3.172,7.441
240,4,2011-12-09,LED desk lamp with USB charging port,2290549.32,0,41.76,3.158,7.441
241,5,2011-12-16,Blueberry scented candle,2432736.52,0,50.13,3.159,7.441
242,2,2011-12-23,Stainless steel water bottle,3224369.8,0,46.66,3.112,7.441
243,3,2011-12-30,Leather messenger bag,1874226.52,1,44.57,3.129,7.441
244,1,2012-01-06,Organic coconut oil,1799520.14,0,46.75,3.157,7.057
245,4,2012-01-13,Bluetooth wireless earbuds,1744725.48,0,45.99,3.261,7.057
246,5,2012-01-20,Floral patterned throw pillow,1711769.11,0,51.7,3.268,7.057
247,2,2012-01-27,Bamboo cutting board set,1660906.14,0,50.5,3.29,7.057
248,3,2012-02-03,Aromatherapy essential oil diffuser,1935299.94,0,55.21,3.36,7.057
249,2,2012-02-10,Resistance band set,2103322.68,1,46.98,3.409,7.057
250,1,2012-02-17,Ceramic plant pot with saucer,2196688.46,0,43.82,3.51,7.057
251,4,2012-02-24,Insulated lunch box,1861802.7,0,54.63,3.555,7.057
252,5,2012-03-02,Himalayan salt lamp,1952555.66,0,58.79,3.63,7.057
253,2,2012-03-09,Reusable silicone food storage bags,1937628.26,0,57.11,3.669,7.057
254,3,2012-03-16,Handwoven rattan basket,1976082.13,0,63.68,3.734,7.057
255,1,2012-03-23,Yoga mat with carrying strap,1790439.16,0,64.01,3.787,7.057
256,4,2012-03-30,Stainless steel french press coffee maker,1857480.84,0,66.83,3.845,7.057
257,5,2012-04-06,Memory foam travel neck pillow,2129035.91,0,68.43,3.891,6.891
258,2,2012-04-13,Glass meal prep containers set,1935869.1,0,68.08,3.891,6.891
259,3,2012-04-20,Vegan leather wallet,1847344.45,0,65.69,3.877,6.891
260,2,2012-04-27,LED desk lamp with USB charging port,1764133.09,0,67.2,3.814,6.891
261,1,2012-05-04,Blueberry scented candle,1923957.09,0,76.73,3.749,6.891
262,4,2012-05-11,Stainless steel water bottle,1917520.99,0,73.87,3.688,6.891
263,5,2012-05-18,Leather messenger bag,2000940.67,0,71.27,3.63,6.891
264,2,2012-05-25,Organic coconut oil,1912791.09,0,78.19,3.561,6.891
265,3,2012-06-01,Bluetooth wireless earbuds,1910092.37,0,78.38,3.501,6.891
266,1,2012-06-08,Floral patterned throw pillow,2010216.49,0,78.69,3.452,6.891
267,4,2012-06-15,Bamboo cutting board set,1962924.3,0,80.56,3.393,6.891
268,5,2012-06-22,Aromatherapy essential oil diffuser,1887733.21,0,81.04,3.346,6.891
269,2,2012-06-29,Resistance band set,1881046.12,0,86.32,3.286,6.891
270,3,2012-07-06,Ceramic plant pot with saucer,2041507.4,0,84.2,3.227,6.565
271,2,2012-07-13,Insulated lunch box,1830075.13,0,80.17,3.256,6.565
272,1,2012-07-20,Himalayan salt lamp,1819666.46,0,83.23,3.311,6.565
273,4,2012-07-27,Reusable silicone food storage bags,1757923.88,0,86.37,3.407,6.565
274,5,2012-08-03,Handwoven rattan basket,1946104.64,0,90.22,3.417,6.565
275,2,2012-08-10,Yoga mat with carrying strap,1866719.96,0,88.55,3.494,6.565
276,3,2012-08-17,Stainless steel french press coffee maker,1928016.01,0,84.79,3.571,6.565
277,1,2012-08-24,Memory foam travel neck pillow,1876788.15,0,76.91,3.62,6.565
278,4,2012-08-31,Glass meal prep containers set,1947083.3,0,82.64,3.638,6.565
279,5,2012-09-07,Vegan leather wallet,1898777.07,1,87.65,3.73,6.565
280,2,2012-09-14,LED desk lamp with USB charging port,1814806.63,0,75.88,3.717,6.565
281,3,2012-09-21,Blueberry scented candle,1829415.67,0,71.09,3.721,6.565
282,2,2012-09-28,Stainless steel water bottle,1746470.56,0,79.45,3.666,6.565
283,1,2012-10-05,Leather messenger bag,1998321.04,0,70.27,3.617,6.17
284,4,2012-10-12,Organic coconut oil,1900745.13,0,60.97,3.601,6.17
285,5,2012-10-19,Bluetooth wireless earbuds,1847990.41,0,68.08,3.594,6.17
286,2,2012-10-26,Floral patterned throw pillow,1834458.35,0,69.79,3.506,6.17
287,3,2010-02-05,Bamboo cutting board set,461622.22,0,45.71,2.572,7.368
288,1,2010-02-12,Aromatherapy essential oil diffuser,420728.96,1,47.93,2.548,7.368
289,4,2010-02-19,Resistance band set,421642.19,0,47.07,2.514,7.368
290,5,2010-02-26,Ceramic plant pot with saucer,407204.86,0,52.05,2.561,7.368
291,2,2010-03-05,Insulated lunch box,415202.04,0,53.04,2.625,7.368
292,3,2010-03-12,Himalayan salt lamp,384200.69,0,63.08,2.667,7.368
293,2,2010-03-19,Reusable silicone food storage bags,375328.59,0,60.42,2.72,7.368
294,1,2010-03-26,Handwoven rattan basket,359949.27,0,57.06,2.732,7.368
295,4,2010-04-02,Yoga mat with carrying strap,423294.4,0,65.56,2.719,7.343
296,5,2010-04-09,Stainless steel french press coffee maker,415870.28,0,68.0,2.77,7.343
297,2,2010-04-16,Memory foam travel neck pillow,354993.26,0,66.98,2.808,7.343
298,3,2010-04-23,Glass meal prep containers set,339976.65,0,67.87,2.795,7.343
299,1,2010-04-30,Vegan leather wallet,361248.39,0,70.24,2.78,7.343
300,4,2010-05-07,LED desk lamp with USB charging port,399323.86,0,73.47,2.835,7.343
301,5,2010-05-14,Blueberry scented candle,384357.94,0,77.18,2.854,7.343
302,2,2010-05-21,Stainless steel water bottle,343763.17,0,75.81,2.826,7.343
303,3,2010-05-28,Leather messenger bag,350089.23,0,78.6,2.759,7.343
304,2,2010-06-04,Organic coconut oil,396968.8,0,78.53,2.705,7.343
305,1,2010-06-11,Bluetooth wireless earbuds,355017.09,0,82.1,2.668,7.343
306,4,2010-06-18,Floral patterned throw pillow,364076.85,0,83.52,2.637,7.343
307,5,2010-06-25,Bamboo cutting board set,357346.48,0,83.79,2.653,7.343
308,2,2010-07-02,Aromatherapy essential oil diffuser,381151.72,0,82.2,2.669,7.346
309,3,2010-07-09,Resistance band set,349214.18,0,81.75,2.642,7.346
310,1,2010-07-16,Ceramic plant pot with saucer,352728.78,0,84.32,2.623,7.346
311,4,2010-07-23,Insulated lunch box,352864.49,0,83.32,2.608,7.346
312,5,2010-07-30,Himalayan salt lamp,347955.05,0,82.04,2.64,7.346
313,2,2010-08-06,Reusable silicone food storage bags,402635.76,0,85.13,2.627,7.346
314,3,2010-08-13,Handwoven rattan basket,339597.38,0,86.74,2.692,7.346
315,2,2010-08-20,Yoga mat with carrying strap,351728.21,0,88.02,2.664,7.346
316,1,2010-08-27,Stainless steel french press coffee maker,362134.09,0,86.15,2.619,7.346
317,4,2010-09-03,Memory foam travel neck pillow,366473.97,0,84.16,2.577,7.346
318,5,2010-09-10,Glass meal prep containers set,352260.97,1,80.84,2.565,7.346
319,2,2010-09-17,Vegan leather wallet,363064.64,0,82.36,2.582,7.346
320,3,2010-09-24,LED desk lamp with USB charging port,355626.87,0,76.9,2.624,7.346
321,2,2010-10-01,Blueberry scented candle,358784.1,0,73.6,2.603,7.564
322,1,2010-10-08,Stainless steel water bottle,395107.35,0,66.99,2.633,7.564
323,4,2010-10-15,Leather messenger bag,345584.39,0,69.71,2.72,7.564
324,5,2010-10-22,Organic coconut oil,348895.98,0,71.64,2.725,7.564
325,2,2010-10-29,Bluetooth wireless earbuds,348591.74,0,72.04,2.716,7.564
326,3,2010-11-05,Floral patterned throw pillow,423175.56,0,62.94,2.689,7.564
327,1,2010-11-12,Bamboo cutting board set,386635.03,0,62.79,2.728,7.564
